epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,4910.39,1.92523,2.37662,2.40768,0.64277,0.56537,0.66763,0.34633,1.74024,1.92301,2.50141,0.00128952,0.00128952,0.00128952
63,4983.4,1.896,2.24081,2.33423,0.5007,0.69675,0.64834,0.34407,1.71053,1.86271,2.48574,0.00128507,0.00128507,0.00128507
64,5066.44,1.88342,2.25886,2.34118,0.6544,0.6422,0.71654,0.39069,1.61807,1.80238,2.37826,0.00128057,0.00128057,0.00128057
65,5142.69,1.91903,2.2787,2.36408,0.64627,0.65932,0.69513,0.3915,1.68297,1.80064,2.40425,0.00127599,0.00127599,0.00127599
66,5203.81,1.88213,2.20958,2.31816,0.67313,0.66334,0.66567,0.37304,1.64327,1.90474,2.40747,0.00127136,0.00127136,0.00127136
67,5284.85,1.88493,2.22731,2.38621,0.57072,0.72134,0.70796,0.37857,1.71846,1.67659,2.45304,0.00126667,0.00126667,0.00126667
68,5365.45,1.86315,2.27173,2.3499,0.60544,0.64146,0.61134,0.33172,1.76845,1.9218,2.43707,0.00126192,0.00126192,0.00126192
69,5428.08,1.87736,2.23934,2.34271,0.62865,0.65329,0.69096,0.40182,1.63198,1.84528,2.38973,0.00125711,0.00125711,0.00125711
70,5509.91,1.87886,2.25624,2.34573,0.66397,0.70076,0.71078,0.38611,1.59714,1.86828,2.38154,0.00125224,0.00125224,0.00125224
71,5591.26,1.8482,2.16238,2.28625,0.85034,0.56512,0.76361,0.45292,1.57042,1.79627,2.35047,0.00124731,0.00124731,0.00124731
72,5658.6,1.81747,2.14541,2.27915,0.7183,0.69889,0.75112,0.43392,1.58424,1.61979,2.36101,0.00124233,0.00124233,0.00124233
73,5738.72,1.78719,2.05798,2.29306,0.69675,0.70694,0.75321,0.43491,1.56099,1.71017,2.32427,0.00123728,0.00123728,0.00123728
74,5818.98,1.84732,2.14161,2.32901,0.81091,0.706,0.79011,0.41884,1.66705,1.73981,2.40743,0.00123219,0.00123219,0.00123219
75,5890.52,1.85655,2.16892,2.30899,0.72088,0.66477,0.70503,0.38901,1.62083,1.65141,2.37173,0.00122703,0.00122703,0.00122703
76,5970.61,1.80891,2.098,2.28849,0.65079,0.70858,0.72614,0.42859,1.54695,1.63072,2.34587,0.00122182,0.00122182,0.00122182
77,6050.59,1.78054,2.06485,2.25495,0.76682,0.74203,0.78021,0.47894,1.53293,1.48855,2.28754,0.00121656,0.00121656,0.00121656
78,6119.11,1.80399,2.0417,2.27306,0.70447,0.6894,0.76778,0.46044,1.49433,1.59187,2.30228,0.00121124,0.00121124,0.00121124
79,6199.25,1.8355,2.14318,2.31604,0.80021,0.69535,0.7975,0.47243,1.58867,1.49656,2.35913,0.00120586,0.00120586,0.00120586
80,6278.56,1.74781,1.99493,2.23599,0.75399,0.69673,0.77839,0.47169,1.62554,1.52017,2.35589,0.00120044,0.00120044,0.00120044
81,6345.93,1.80548,2.03602,2.24944,0.84017,0.70151,0.79932,0.49143,1.54691,1.55277,2.28309,0.00119496,0.00119496,0.00119496
82,6428.45,1.77612,2.00989,2.21697,0.78793,0.68213,0.80268,0.47574,1.54748,1.46423,2.29941,0.00118943,0.00118943,0.00118943
